size_sqft,bedrooms,bathrooms,age_years,garage,floors,pool,distance_km,price
3291.6378611481514,2,2,48,1,2,1,29.43,253360.65
3847.2506169755648,3,2,24,0,2,0,21.53,344626.63
812.6514789320523,3,2,41,1,1,0,17.65,110615.51
2430.6480852289897,4,3,12,0,2,1,4.31,337897.54
2850.3825102361907,6,1,10,0,3,1,3.47,385749.46
1567.944725319453,5,4,39,0,3,1,14.06,221171.16
4461.121915820511,3,1,40,0,1,0,8.67,389753.78
916.6311153212388,2,2,36,0,1,0,12.85,79522.41
727.2954359856047,3,3,45,1,1,0,27.79,74966.66
3672.5293039222524,6,2,28,0,3,0,19.78,412554.14
878.4983637376752,2,3,39,1,2,0,14.59,106631.31
1785.9556431245903,4,3,33,1,2,0,18.34,247925.92
2954.4831996890516,1,1,15,0,3,1,17.71,251338.2
3576.1251162696512,2,4,34,1,2,0,29.91,301330.02
4379.315420656245,4,3,27,1,2,0,25.87,439261.51
1886.234287957965,6,4,19,1,3,0,14.19,308029.2
4383.720434553451,4,1,43,1,2,0,6.44,437587.44
2010.9395006915336,4,4,49,0,1,1,16.93,250777.32
3323.1751135764716,1,1,41,0,3,0,10.01,257862.84
653.3304114176367,4,1,15,0,2,0,19.78,122926.7
1738.2600850209653,6,3,27,1,2,0,14.25,302807.54
1164.103677093874,2,2,5,1,2,1,28.09,133289.87
1703.0720348030238,3,4,10,1,3,1,11.01,279079.1
2752.4779265761626,5,4,30,1,1,0,17.58,335223.63
770.2244664794775,6,4,46,1,2,0,15.36,215353.06
744.3764842477472,5,3,7,1,1,1,1.45,250379.92
4382.831496760315,1,4,17,1,3,1,19.85,460490.03
3921.8846401676965,6,4,21,1,3,0,18.91,467996.01
1720.7781157639702,2,1,28,0,3,0,13.87,182179.04
3306.6045348936145,1,1,21,0,2,1,11.87,303525.39
2807.1194414721535,2,2,12,0,3,1,18.97,300249.64
1539.2361882396208,5,2,15,1,3,1,14.33,252822.98
2414.4876965486756,3,2,5,1,2,1,19.53,266677.75
2254.804859997501,3,4,20,0,2,1,4.09,284622.76
1753.90232184156,6,3,2,1,2,0,17.41,301765.27
3274.618021662647,6,1,39,1,2,0,18.6,341584.93
3021.475536208186,6,2,41,0,3,0,9.96,359974.04
2319.210441634965,5,3,47,0,1,1,10.47,271721.55
3667.39996301897,3,3,11,1,2,1,22.65,400806.55
1920.9894898273565,1,4,5,0,1,1,29.05,197701.67
3683.659677496856,1,3,35,0,2,1,20.51,304790.27
3222.1291096689515,5,4,41,1,1,0,14.67,339202.67
1879.224499087766,5,2,42,0,3,1,27.37,198751.67
1778.541680664076,4,1,9,0,1,1,29.88,202576.33
2696.4317629418506,4,4,24,1,3,0,26.68,322410.93
3154.1954002245093,4,4,18,0,3,1,7.3,378643.03
2014.4755511543376,6,3,35,1,1,1,9.0,316206.03
4376.006816151908,4,1,43,0,3,0,2.47,392413.07
3669.2145899076318,2,1,49,0,3,0,24.58,316114.83
1508.6948482795226,2,1,18,0,1,1,24.16,162213.96
1114.0325952914002,3,2,38,1,1,0,8.7,169445.71
1094.358320479843,4,1,48,0,2,1,23.56,116752.62
2564.9708901647036,5,1,47,1,2,0,2.76,300323.7
2468.0294528936165,4,4,44,0,2,1,3.13,328153.39
856.1607099484443,3,3,25,1,2,1,3.88,201998.72
3336.939732329658,6,2,28,1,1,1,10.83,394365.07
970.8347731749603,4,3,43,1,2,0,20.92,154795.75
2449.6447537975005,1,1,6,1,1,1,24.54,212700.75
2790.1870145690823,3,1,27,1,3,1,26.17,281886.94
3412.1366471099827,3,3,23,0,3,0,5.49,327496.67
1965.4445774626456,5,3,8,1,3,0,24.41,284346.0
3896.1051291805966,5,1,39,1,1,0,8.92,398159.76
1968.9913408742289,2,2,37,1,1,0,22.49,143001.1
4390.060243156275,1,2,25,1,2,1,5.56,418671.18
4271.488953483215,5,1,4,0,1,0,20.55,423437.9
1661.201089830254,6,4,32,1,2,1,7.25,296281.9
1032.4701115836292,6,4,34,1,1,0,12.46,217495.18
2937.367332083357,1,2,20,0,1,1,9.39,284907.33
2279.5545442790517,2,4,35,0,3,1,3.09,287345.08
3960.881011888095,1,4,2,1,1,1,17.7,383094.59
2229.006443389574,1,4,2,1,1,1,25.13,241793.1
4187.1020317914,1,4,7,0,2,1,16.19,393263.39
1924.1017964790092,3,2,5,0,3,0,27.27,210213.92
1962.563535342283,6,2,16,0,1,1,6.72,272226.09
3156.4851410230826,2,4,30,1,3,1,26.06,318397.53
3046.14788690911,2,4,5,1,2,1,24.09,331094.26
889.343559075822,4,4,3,0,2,1,3.23,213050.96
3970.575132308433,1,4,30,0,2,0,10.32,345584.25
841.3074303942929,1,3,46,0,3,0,2.14,101369.84
3359.7246468607877,4,2,24,1,2,1,12.85,372367.05
3677.9850330982927,6,3,5,1,1,1,9.24,489312.21
3422.561254509601,6,2,22,0,3,0,27.59,352253.58
3182.3271120238014,2,1,20,1,3,1,24.58,331702.32
3213.453959979418,6,1,42,1,3,1,1.53,394199.79
1932.7561460130378,4,2,15,0,1,0,9.58,262248.38
3673.6686773184606,5,1,43,1,3,0,18.32,378579.46
3302.097999358784,5,2,47,1,1,1,11.56,377862.55
3406.384127783535,4,3,49,1,1,0,9.97,357533.72
3856.942231630259,3,4,30,1,2,1,29.02,378570.46
3785.8758343668364,5,2,17,0,3,1,26.35,393567.79
3898.97987926041,1,3,6,0,2,1,27.25,347116.25
1174.6597583672567,4,1,15,1,2,0,13.03,170463.37
2106.0478603739202,1,3,15,0,2,0,25.34,188171.47
3134.8466687473083,2,2,3,1,2,0,23.01,287330.6
4132.844207502756,1,3,14,0,3,1,4.22,414422.74
1723.596154352999,3,1,4,0,2,1,2.82,242357.86
2690.609758824839,6,2,46,0,2,1,1.05,326865.34
1975.982554541532,5,4,12,0,3,1,2.96,308336.21
4454.492793826223,5,1,25,1,1,1,29.45,434939.8
1589.2360181699296,1,3,5,1,1,0,23.37,166313.01
772.9091843513119,5,3,42,0,3,1,29.44,129604.96
2466.2715693099035,2,2,5,1,1,1,6.85,303460.22
1830.8236981939287,3,4,35,1,2,0,22.85,186633.7
1345.3033798622525,3,1,42,1,2,0,24.18,119310.77
2314.9728714606626,4,3,12,1,3,1,11.65,338272.84
3709.434433468996,3,1,47,1,1,1,18.47,350476.87
1852.7245700369167,1,3,43,1,2,1,18.48,176336.88
2261.852684243877,6,4,23,1,1,1,18.83,317692.2
3686.763532436096,1,1,43,1,2,0,28.63,284222.18
1156.839926613944,5,4,3,0,1,0,23.58,183570.7
2812.254102724066,5,2,44,1,2,1,13.87,348379.69
899.8531724385537,2,3,26,1,3,1,8.24,195270.27
2546.2714450002204,4,1,17,1,3,1,7.22,346403.46
2986.321012778206,6,4,13,0,1,0,14.11,378900.12
942.3838903084511,6,3,43,1,3,0,16.95,189502.62
1732.412902833473,3,2,46,0,2,0,4.52,185544.56
3682.4549371502217,1,3,36,1,2,0,18.75,331269.31
936.2403784425376,3,4,46,1,3,1,23.31,167159.75
4392.280952903687,6,1,29,1,3,1,4.72,502524.27
3833.309539728056,5,2,50,0,2,0,25.11,333775.17
1231.6711422680087,6,2,23,1,1,1,6.69,251337.01
