freq_free,freq_money,freq_click,freq_excl,freq_dollar,cap_run_len,cap_total,num_links,has_html,msg_len,is_spam
0.9443,0.0712,0.7115,0.2502,0.347,8.25,30.54,1,0,0.2236,1
0.2003,0.4092,0.4555,0.4533,0.183,7.01,71.85,2,1,0.3994,1
0.058,0.4521,0.1675,0.3868,0.2305,4.01,78.74,2,0,0.653,1
0.6335,0.4034,0.7723,0.1917,0.0151,4.79,37.94,0,1,0.7812,1
0.0041,0.7336,0.181,0.4385,0.1248,2.95,50.83,9,0,0.1588,1
0.0457,0.9485,0.3647,0.2601,0.2096,9.24,68.99,4,1,0.9965,1
0.1649,0.9069,0.6496,0.0096,0.0897,19.71,21.91,0,0,0.2108,1
0.7111,0.7921,0.3002,0.3202,0.3085,12.84,59.8,1,0,0.6882,1
0.4168,0.3803,0.4378,0.2372,0.0613,14.21,63.4,9,1,0.6955,1
0.6625,0.27,0.4845,0.0686,0.3323,2.99,72.16,3,1,0.2026,1
0.1997,0.263,0.4185,0.1008,0.2814,6.61,4.9,15,0,0.7194,1
0.4807,0.2345,0.0102,0.0445,0.0442,11.91,49.92,2,0,0.7512,1
0.2312,0.9887,0.2368,0.2321,0.0399,4.32,4.91,9,1,0.8214,1
0.3127,0.7385,0.076,0.3791,0.0184,17.19,66.67,5,1,0.4218,1
0.8785,0.093,0.652,0.0914,0.1603,19.28,27.91,12,1,0.8199,1
0.6488,0.7969,0.0904,0.3481,0.0235,18.91,16.78,13,1,0.822,1
0.3798,0.3586,0.0231,0.3422,0.3354,19.5,13.93,15,0,0.8988,1
0.4407,0.0633,0.524,0.0062,0.3473,10.97,74.62,7,1,0.5672,1
0.4328,0.7267,0.3855,0.3319,0.2566,3.82,82.82,1,0,0.6791,1
0.1569,0.8488,0.6815,0.4347,0.0299,10.34,24.85,8,0,0.5562,1
0.8171,0.0788,0.3554,0.2865,0.0352,10.47,32.29,15,0,0.1924,1
0.4123,0.5571,0.0001,0.0454,0.2417,12.76,31.16,6,1,0.9553,1
0.2229,0.4545,0.4481,0.3099,0.1893,13.49,71.88,3,0,0.7834,1
0.2217,0.3414,0.6639,0.4822,0.1168,10.92,70.51,1,0,0.5432,1
0.4092,0.2543,0.1567,0.0604,0.3409,5.1,82.63,6,1,0.197,1
0.4145,0.9266,0.67,0.2944,0.3089,9.56,66.19,4,1,0.1039,1
0.4328,0.5851,0.7395,0.3905,0.3641,14.14,18.19,4,0,0.4487,1
0.6005,0.8827,0.4033,0.1923,0.3918,18.4,76.48,8,1,0.9672,1
0.1334,0.4127,0.56,0.3742,0.1196,14.33,86.21,6,0,0.2887,1
0.7144,0.6866,0.737,0.0663,0.2842,19.53,18.6,10,0,0.7847,1
0.9427,0.7101,0.5394,0.4469,0.2136,17.67,42.82,0,0,0.1227,1
0.1453,0.6703,0.1599,0.3751,0.0644,6.45,25.81,1,1,0.2836,1
0.4526,0.6161,0.5404,0.2809,0.0897,13.3,39.5,9,0,0.9338,1
0.3876,0.9567,0.7807,0.1563,0.2208,1.25,25.88,14,0,0.9203,1
0.7551,0.5466,0.4827,0.3881,0.3857,6.59,18.57,2,0,0.9662,1
0.7351,0.1194,0.0325,0.1396,0.1057,4.06,84.76,0,1,0.5197,1
0.9286,0.5969,0.6189,0.3127,0.3373,6.72,79.2,11,0,0.8056,1
0.3179,0.22,0.1471,0.0341,0.2021,8.9,54.17,2,1,0.2991,1
0.3608,0.2184,0.6021,0.2652,0.3987,16.65,98.13,0,0,0.702,1
0.4457,0.9045,0.491,0.3106,0.3836,13.97,32.77,3,1,0.3309,1
0.5169,0.7705,0.4114,0.2544,0.1947,6.63,65.5,10,0,0.9534,1
0.1674,0.9563,0.4304,0.0037,0.0262,13.74,77.58,13,0,0.285,1
0.7414,0.4352,0.6534,0.0361,0.2744,1.45,71.97,1,0,0.1659,1
0.178,0.2519,0.0564,0.4108,0.3644,8.75,45.66,12,1,0.3848,1
0.0059,0.7203,0.0506,0.373,0.0182,17.12,36.41,3,1,0.8082,1
